reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,11,2,79,4,406.9606674000388,,406.94661039998755,406.9606674000388,407.9608581000357,407.9608581000357,407.9608581000357,409.74515810003504,t,1.7790927999885753,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,11,3,80,0,409.7606605000328,,409.74573890003376,409.7606605000328,410.7608009999967,410.7608009999967,410.7608009999967,412.12865030003013,l,1.3617138999979943,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,11,4,81,3,412.1438461000216,,412.1293068000232,412.1438461000216,413.14380279998295,413.14380279998295,413.14380279998295,414.96189079998294,t,1.813392299984116,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,11,5,82,5,414.9775179999997,,414.96241390000796,414.9775179999997,415.9774873999995,415.9774873999995,415.9774873999995,417.6954603000195,t,1.7153667999664322,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,11,6,83,6,417.7107496000244,,417.6961052999832,417.7107496000244,418.7106400000048,418.7106400000048,418.7106400000048,420.1952956999885,t,1.480663500027731,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,12,0,84,5,420.2108311000047,,420.19594030000735,420.2108311000047,421.210787500022,421.210787500022,421.210787500022,422.81224549998296,t,1.5986440000124276,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,12,1,85,0,422.82748790003825,,422.81289130001096,422.82748790003825,423.8274043999845,423.8274043999845,423.8274043999845,425.6453211000189,l,1.8050764999934472,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,12,2,86,4,425.6608118999866,,425.64599709998583,425.6608118999866,426.66082600003574,426.66082600003574,426.66082600003574,427.9288645000197,t,1.2641163999796845,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,12,3,87,1,427.94398849998834,,427.9295097999857,427.94398849998834,428.94399050000357,428.94399050000357,428.94399050000357,430.0453705000109,l,1.0855332000064664,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,12,4,88,3,430.06082590000005,,430.04596180003136,430.06082590000005,431.06090350000886,431.06090350000886,431.06090350000886,433.3451142000267,t,2.2681257000076585,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,12,5,89,2,433.3607958999928,,433.3457569000311,433.3607958999928,434.36088870000094,434.36088870000094,434.36088870000094,436.04511790000834,l,1.673738699988462,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,12,6,90,6,436.0605986000155,,436.04568189999554,436.0605986000155,437.0608058000216,437.0608058000216,437.0608058000216,438.2290501000243,t,1.1626357000204735,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,13,0,91,6,438.2438710000133,,438.22969479998574,438.2438710000133,439.24394210003084,439.24394210003084,439.24394210003084,440.078401900013,t,0.8255464999820106,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,13,1,92,0,440.0935676000081,,440.078852000006,440.0935676000081,441.0940793000045,441.0940793000045,441.0940793000045,441.9451515999972,l,0.8426511999568902,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,13,2,93,3,441.96082690003095,,441.94581330002984,441.96082690003095,442.96087860001717,442.96087860001717,442.96087860001717,444.16231909999624,t,1.1844731000019237,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,13,3,94,2,444.177517300006,,444.16297180001857,444.177517300006,445.17753859999357,445.17753859999357,445.17753859999357,446.0957739999867,l,0.9163269000127912,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
